text,tags
"Стильная, приятная по ощущениям.
Тёплый удобный
Хорошая, рекомендую
Очень колючая
Отлично смотрится. заказал вторую такую же.
Классево выглядит, состав шикарный!
Хорошая, лёгкая шапка. Качество на уровне
","[""Приятная ткань"", ""Держит тепло"", ""Легко стирается"", ""Качественный""]"
"Хорошие качество, нет катышек
Отличные перчатки, за свою цену!
Перчатки понравились. Качественные, тёплые, на среднего размера мужскую руку. 
Качественные 
Мягкие. Симпатичные.
Подойдет на холодную погоду.
","[""Приятная ткань"", ""Держит тепло"", ""Качественный""]"
"Милые варежки, теплые и цвет красивый
Варежки симпатичные, на несильный морозец. В ветреную и морозную погоду не спасут.
Отличные !!! Мягкие . Спасибо от постоянного покупателя , за то , что можно купить изделия из натуральной шерсти в хорошем качестве за приятную цену 
Очень мягкие и тёплые.
Цвет очень темный, почти черный, хотя заказывала серый. На вид показались холодными, поэтому отказ
Отличные варежки. Давно хотела их купить, пришло лето и забылось) увидела их на скидке, заказала. Качественные. Предполагаю теплые. Больших надежд на них не возлагаю, так как руки мерзнут всегда) но на слабые  морозы пойдут
Очень понравились варежки, но они без подкладки, в мороз через пряди  просачивается воздух, руки немного мерзнут, так что гулять долго в них не советую 
варежки красивые, но тонкие, в Мороз будет холодно , выкупила на осень. 
Отличные варежки. Мягкие, красивые . Выглядят  как будто вручную связанные, понравились 
Хорошие варежки
Мне понравились.
Милые варежки, но тонковаты. Для милоты до -3°С
","[""Приятная ткань"", ""Держит тепло"", ""Есть дефекты""]"
"Отличная кепка, берем не первый раз!
Любимая бейсболка сына) В размер. После стирки в машинке не изменилась!
Классная, сын носит не снимая 
хороша кепка можно и на тёплую осень носить
Кепка хорошая.Ребенку понравилась.
Нормальная 
Просто пушка 
Качественный 
Любимая фирма, отличная яркая
Ребенку понравилась
Сыну подошла, удобная. Размеру соответствует
Классный, не угадала с размером (
По качеству нормально.
Классная кепка 
","[""Удобный"", ""Долговечный"", ""Качественный""]"
"Берём такую кепку уже вторую, всё нравится
Супер. Необычный козырёк.
Отличная кепка, сыну очень понравилась!
Ребенок очень доволен, хотел спать в ней)
Отличная кепка
Классная кепка но козырёк конечно для красоты. Солнце через него норм так слепит. Ребёнок доволен это главное. Лучшая марка для детей
Очень классная кепка, ребёнок в восторге 
Сын носил кепку всё лето, думаю от солнца козырек не сильно спасал, но ему было отлично… 
Кепка супер, очень интересная, брала со скидкой
Отличная кепка, ребенок счастлив.
классная, ребёнок доволен
Хорошая,стильная кепка
",[]
"Чудесный! Ребенок 10 лет доволен очень!
Качество , стильная , сын доволен 
Мягкий, вроде тёплый, но совершенно не держится карабин на резинке. Толку от него нет, приходится завязывать узелком резинку, чтоб хоть как-то горло ребёнку закрыть( Для детей лучше брать трикотажные снуды, которые тянутся
Спадает и шнурок не фиксирует(
Хороший снуд. Мягкий плотный флис
За свои деньги вообще отлично. Есть резинка для затяжки. Материал мягкий. 
Снуд хороший,приятный. Ребенок доволен
Цена качество 
тёплый, хорошего качества, рекомендую
Прикольный, вместо шарфа. Тем более за такую цену 
Отличный, тонкий и тёплый
Хороший снуд
Снуд мягкий, удобный. Покупаем второй раз для других членов семьи
Хороший снуд.
Снуд отличный, оказался на подростка тесноват.
Рекомендую)
Мягкий , удобный снуд
Хороший снуд, теплый, комфортный. Купила сыну 9 лет
","[""Не протекает"", ""Удобный"", ""Держит тепло"", ""Плотный""]"
"Теплые на осень 
Хорошие перчатки 
Красивые, качественные,  мягкие, тёплые.
очень приятная ткань.  ребёнок не любит носить варежки и перчатки, однако эти после примерки не захотел снимать)
Мягкие, высокий манжет 
Брала сыну 11 лет 
Подошли 
","[""Приятная ткань"", ""Держит тепло"", ""Качественный""]"
"Отличная кепка, купила по хорошей скидке
Хорошо сидит
Подошла на ребёнка 8 лет. Форму держит хорошо, плотная - после +25 жарко.
По факту плотноватая для лето 
Очень.крутая
Сын доволен . 
Легкая и прочная 
Немного плотновато выглядит сама ткань, но бейсболка глубокая, как хотели
","[""Легко стирается"", ""Удобный"", ""Плотный""]"
"Заедает кнопка(((
Таких денег не стоит.
Да, механизм чуть жестковат, но 10-летний ребенок справляется. Зонт выжил неделю ношения в школу! Но! Он тяжёлый, тяжёлый как полноценный мужской зонт!!!
Ребенку понравился. 
Классный зонт
Красивый, убойный, качественный зонт!
Ребёнку закрыть не под силу. Очень тугой.
Зонт добротный , к качеству претензий нет . Но очень тяжелый, а для ребенка хотелось бы легкий взять. Поэтому отказ
","[""Неудобный""]"
"Крутые очки!
Это детские очки, причем в характеристике о товаре это не написано 
Супер очки!)
Очки понравились. Не тёмные линзы, на мальчика 7 лет впритык
Неплохие очки
Крутые очки, был бы ещё чехол все 5 звёзд поставила бы
","[""Не ржавеет""]"
