text,tags
"[""Замечательная базовая сумка, можно носить и с логотипом, и развернуть без него. Цвет ярче чем на фото. "", ""Сумка-зефирка. Длинный ремешок можно снять. Одно отделение без карманов, закрывается на магнитную кнопку (сумка по факту остаётся открытой, не для прогулок под дождём). По размеру отлично, чтобы взять только необходимое: паспорт, телефон, ключи."", ""Красивая сумочка."", ""Отличная малышка. Вместительная "", ""Сумка лично для меня ни о чем. Маленькая, как игрушечная. Не знаю что там поместиться должно. Единственное что понравилось, так это цвет""]","[""Вместительная"", ""Водонепроницаемая"", ""Хорошая упаковка"", ""Компактная""]"
"[""Выбирала из двух цветов, предпочтение в сторону светлой такой же модели. Разочарована, что спустя две недели использования, цвет фурнитуры и молний совершенно поблек((( Из-за этого смотрится дёшево. "", ""очень понравилась, удобная"", ""Очень удобная и красивая"", ""Классная сумка-трансформер, фактически 2 сумки.  Носится как вместе, так и по отдельности. Ручка отстёгивается и меняется, можно носить в руках и через плечо. Качество хорошее. "", ""Очень понравилась "", ""Качественный товар, рекомендую"", ""Отличная сумка, достаточно маленькая, но все самое необходимое помещается! У меня пол гардероба в коричневых тонах, поэтому мне эта сумка подходит под любые образы"", ""Классная сумка на повседневку"", ""Сумочка красивая и качественная. Очень понравилось, что она превращается в несколько разных сумочек: хочешь- только для телефона на цепочке, хочешь-клатч, хочешь- кроссбоди. Еще бОльшее удовольствие получила бы, если бы упаковка была «повкуснее»: товар хороший , а упаковка у бренда обычная. Всё-таки приятнее получатьтакую  вещь в фирменной коробочке/пакете/пыльнике ( ну хоть что -то). "", ""Очень классная "", ""Как-то неприятно было получить сумку за 10тыс в такой рваной упаковке. "", ""Сумочка крутая "", ""Хорошая сумочка, качество тоже. "", ""Хорошее качество "", ""Сумка просто суперкачество "", ""Красивая, качественная. Оригинал "", ""Качество хорошее,нитки нигде не торчат.Подходит под все"", ""Сумочки мечты качественная фурнитура, вместительная, очень оригинальная, две разные сумочки в одной с разными комбинациями - просто сказка""]","[""Удобная"", ""Есть дефекты"", ""Вместительная"", ""Высокое качество"", ""Универсальная""]"
"[""Хорошая сумка "", ""Красивая сумка, жена не нарадуется, просто во!"", ""Соответствует описанию, цвет красивый."", ""Удобная и красивая сумка"", ""За такие деньги оч классная, вместительная, цвет оч приятный"", ""Очень вместительная сумка""]","[""Вместительная"", ""Удобная""]"
"[""Качество удобный вместительный "", ""Пока по качеству нет претензий. "", ""Отлично! Подходит к такой же сумке"", ""Покупал под сумку дорожную такого же цвета. Качество на высоте. Удобный несессер  "", ""Просто отличный несессер, да и цена подкупила ""]","[""Высокое качество"", ""Вместительная"", ""Удобная""]"
"[""Нет подкладки ни какой "", ""Очень удобный необычный кисет, обращает на себя внимание"", ""Просто супер сумочка,  ношу на запястье, конечно больше летний вариант и выходного дня, но мне прям зашло"", ""Сама элегантность! Необычная форма придаёт эффект лёгкости""]","[""Лёгкая"", ""Высокое качество""]"
"[""Очень удобная сумка"", ""Прислали совсем другую сумку "", ""Сумка хорошая за 3000. Идеальный размер, компактная. Форму держит плохо."", ""Очень классная сумка ""]","[""Есть дефекты"", ""Компактная"", ""Удобная""]"
"[""Очень стильная и качественно прошита"", ""Отличный рюкзак, лёгкий  дочери понравился и сшит хорошо"", ""Хороший рюкзак, но не для школы "", ""покупали для школы. качественный рюкзак, выглядит как на фото .""]","[""Лёгкая"", ""Высокое качество"", ""Хорошая упаковка""]"
"[""Качество хорошее, но нам сумка не подошла "", ""Сумка понравилась,особенно по скидке,спасибо ламода,купила доп.вкладыш органайзер,это находка для таких сумок,и форму держит и кармашки удобно "", ""Хорошенькая! Подходит под любой образ: и с пуховиком, и с классическим пальто. Для моего низкого роста размер сумочки самое то, советую всем миниатюрным девочкам! И не смотря на ее габариты, она достаточно вместительная"", ""Универсальная малышка - я с ней забыла про все свои сумки. \nКачество прекрасное, вместимость приличная. Лёгкая, материал - то, что надо: ни дождь ни снег ей не страшен.\nВ комплекте есть широкий ремень."", ""То что хотела, ничего лишнего."", ""хорошая, удобная, маленькая, но очень вместительный. уже не первая сумка этого бренда!!! "", ""Красивая сумка, но: места крепления ремешка выглядят не очень надежно, если в сумку положить что то тяжелее кошелька, для меня показалось, что рано или поздно ниточки, удерживающие кожаные ленты и материал сумки вместе, оторвутся и уже будет не пришить их обратно\nА так сумка очень красивая\nНо я ее не стала выкупать из за ненадежности крепления ремешка к сумке"", ""Оригинальная! Мне понравилась! Брала для поездок под спортивные образы, под пуховики. Хоть она и небольшая, но вместительная. Телефон.  Документы, очки в чехле и разные мелочи вмещаются"", ""Не забрала, так как сразу проверила ее не пустой, а с чехлом очков, телефоном и расческой. Дно провисает и смотрится уже совсем не так ""]","[""Прочная ткань"", ""Лёгкая"", ""Есть дефекты"", ""Вместительная"", ""Высокое качество"", ""Универсальная""]"
"[""Все замечательно "", ""Пришла в прозрачном пакете, а в целом удобная сумка для телефона "", ""Стильная,удобная,телефон входит."", ""Хорошая сумочка"", ""Качественная сумка, но влезает только телефон и карточки"", ""Отличная сумка""]","[""Есть дефекты"", ""Высокое качество"", ""Удобная""]"
"[""Маленькая, прикольная, цена за сумку смешная."", ""Сумка жене очень понравилась  "", ""Стильная сумка)"", ""Что-то оригинальное и новое, но ремешок выглядит оч дешено, но в целом за такую цену круто! Стиль"", ""классная, недорогая сумка, не стоит брать если планируете туда много вещей ложить\n""]","[""Есть дефекты"", ""Дешево выглядит"", ""Удобная"", ""Компактная""]"
