text,tags
"Классные колготки , за цену по акции вообще огонь
обычная база, не хуже интимиссими, низкая цена
Прекрасные колготки за такую цену 
Супер колготки, особенно за такую цену
Мягкие на ощупь, идут в размер, телесный цвет, не заметный на ногах, но блестят
Колготки неплохие, тонкие. Но! Из 5 пар 4го размера всего 1 пара была 4. Хоть на упаковке и стоит цифра 4, но внутри одни колготки явно 3, другие с заниженной посадкой . Хоть и по акции брала, но обидно
Хорошие колготки. 
Отличные колготки за свою цену
Супруге понравились 
","[""Просвечивает"", ""Есть дефекты""]"
"Мягкие приятные к телу 
Хорошее качество, идёт в размер.
Хорошие ,но не наша модель,мы высокие худые
Ребенок длинноногий, худой. На рост 153 см точь в точь. 
Кольцоны хорошие, размер соответствует 
Подштанники для мальчика 
Взяла 158 на 13 лет большеваты, но не критично!
Они НЕ утепленные!!! Не знаю пока это хорошо или нет 
Качественные кальсоны, ребенку комфортно, идут в размер) 
Приятные к телу неколючие кальсоны, тонкие 
Приятные по качеству, в размер, проверим зимой как носится будут
большемерят сильно
Приятная к телу ткань, тонкие. 
Хорошие кальсоны. Отличная упаковка. 
Кальсоны унады жумсак ойдагыдай шыкты 
Ребенку нравятся 
Хорошее качество,но не на худеньких мальчиков))
Удобные и теплые 
Идут в размер, тонкие хлопковые, довольна покупкой 
  Понравилось качество. 
Качество хорршее, ткань приятний но не плотный 
Отличная вещь
Качество - цена . 
Сыну удобно.
Качество хорошее, хб, но тонкие, поэтому отказ
Качество, после стирки такие же мягкие, приятные к телу 
Приятный к телу материал, прочный, не вытягиваются и не протираются коленки
Хорошие штанишки, в школу самое то
Хорошие, может не очень тёплые, но очень удобны для мальчиков.
Понравилось качество 
Очень понравились ткань пошив 
Мальчик мой очень доволен 
Приличные кальсоны) само то для школьника 
То, что искали
Маленькие 
Очень классные. Ребенок сильно худенький, в поясе пришлось ушивать
Отличные кальсоны, в размер. Не утепленные
Сшиты хорошо,но меня смутило что на самом ярлыке указана была надпись для «эпизодического ношения»-и нас колько я знаю такие вещи нельзя носить больше 4-х часов в день,ОТКАЗ не для каждодневного ношения
Дышащая ткань, приятные к телу, ребенку комфортно - хорошо тянутся. Рекомендую.
Отличные мягкие кальсоны.
Хорошего качества  . Универсальные . Брала сыну и мужу . Сын рост 160 . Муж 178 . Ну и как-то перепутали ) Муж спокойно одел кальсоны 160 и даже не заметил )) тянутся ,принимают форму тела)
Очень понравились. Качественные, не красятся, сели удачно. Будем брать ещё!
Плотные штанишки, для худых мальчиков
Отличные кальсоны, рекомендую. 
Отличные, хлопок. Идут в размер
хорошее качество , в школу под брюки самое то . 
Хорошее белье, тонкое, мягкое,  хлопок. В школу  подходит ходить.
Нет синтетики 
Хорошие кальсоны , берем не первый раз 
Хорошее качество, на рост 146см взяли размер 152, подошел идеально
Забрали, носит сын с удовольствием!
Хотелось бы поменьше резинку в талии. 
Качество хорошее 
В целом нормальные кальсоны, но плотноваты, под брюки и джинсы надевать будет неудобно. Но на прогулки под осенние-зимние штаны подойдут
Качество хорошее, размер подошел.
Супер, хлопок, приятные к телу и тоненькие. Ребенок одевает в школу под брюки.
Очень классные кальсоны, приятный материал, мягкий, для осенней погоды в самый раз
Кальсоны отличные. 
отличные кальсоны.мы рост 154 ,сын не толстый,на спорте и я бы сказала,что штаны большеваты.а кальсоны брали на 158. Спасибо!
На рост 130 взяли 128см, хорошие хлопковые 
хорошие, тонкие как раз для школьников, качество отличное 
Отличные кальсоны, сын год относил, нигде не порвались, не вытянулись, просто стали малы. Рекомендую. 



 Мягкие, тонкие. Термобелье хорошее. 
Неплохие кальсоны, сын носит, нравится 
Хорошие кальсоны, всё понравилось.Идут в размер
","[""Приятный материал"", ""Не садится после стирки"", ""Дышит"", ""Идет в размер"", ""Плохо пропускает воздух"", ""Удобный"", ""Ткань не скатывается""]"
"Нормальная футболка. Яркий принт. Подозреваю, что принт после нескольких стирок сойдёт, но пока всё отлично!
Отличная футболка
Качество супер, советую
Яркая , качественная 
Отличная футболка выглядит супер
Хорошая, яркая. Сшито аккуратно
","[""Приятный материал"", ""Качественный"", ""Качественный принт""]"
"Хорошие джинсы. Большемерят немного. Есть шнурок, можно затянуть. Странно, что у одной и то же фирмы одного и того же размера, одни джинсы малы, другие большие. 
Сели отлично, нигде не давят, ребёнку понравилось
Классные джинсы
Джинсы хорошего качества,идут размер. Сыну понравились.
Лёгкие,удобные
Удобные, качественные 
","[""Идет в размер"", ""Качественный"", ""Удобный""]"
"Качество замечательное и цена очень порадовала. 
Качественный, берём второй раз.
Сын в восторге от возможности сажать собачку в кармашек)))
Покупала мальчику, очень понравилась, одевает с удовольствием. Качество отличное, собачка прикреплена к кармашку, ребёнку нравится.
Маломерит, расцветка хорошая) 
Рекомендую, красивая футболка
Классная футболка, мягкий плотный хлопок. Ребенку нравится собачка 
Хорошая футболка
","[""Качественный"", ""Маломерит""]"
"тёплый, на прогулку самое то
Классный комбинезон
на прогулку 
Хорошее качество, комфортный
Замечательный комбинезон, покупаем очередной по мере увеличения роста ребенка)) Качество на высоте, принт привлекает внимание.
","[""Качественный"", ""Качественный принт"", ""Удобный""]"
"Качество хорошее, брали со скидкой 
Хорошие трусы, на худых 
Очень понравились, цвет - удобные
Беру не первый раз. Хорошие.
Удобные ребенку , хорошо тянутся 
Хорошие трусы, яркие, красивые. По приемлемой цене.
Качество огонь
качественные  трусы,сыну  нравятся
Трусы этого производителя покупаем не впервые и всегда довольны качеством. Чистый хлопок, при стирке достаточно устойчивые к растягиванию и выцветанию. В таком соотношении цены качества отличный выбор!
Качество отличное , хлопок, в размер 
Трусы хорошие, в размер, яркие
Трусы удобные, ребёнок предпочитает только такие уже лет 10, нравится качество.
Только их и покупаю сыновьям, отличные
Отличные трусы! Тоненький хлопок, самый подходящий для детского белья.
Мягкие, идут в размер.
","[""Идет в размер"", ""Просвечивает"", ""Удобный""]"
"Качество свитера хорошее. Минус в том, что он очень короткий. На мальчика ростом 116 см взяли размер 134
Хорошая водолазка, отличное качество! Маломерит, как все изделия данной фирмы 
хороший свитер,спасибо Ламоде)
Джемпер замечательный. 
Классный свитер. Плотный, сын носит зимой.
По размеру подходит 
Искали свитер такого цвета, идеально. Приятный телу не колется 
Кофта супер, но не подошел размер, мала
Маломерка -мне показалось даже на 2 размера больше надо было брать !!!
Маломерит сильно(
Все супер ну и цена
","[""Приятный материал"", ""Маломерит""]"
"Отличная толстовка 
Мягкая, тонкая
Яркая, тонкая, как раз на вечерние прогулки летом 
Тонкая. Сыну понравился принт 
Худи оказалось в притык, на один или два раза
Стильный худи, супер
Удобное место ужи сыну понравился)
","[""Качественный"", ""Качественный принт"", ""Удобный""]"
"Прикольный
Неплохой, легко одевается. По ощущением ткань не натуральная, поэтому минус звезда.
Всем советую этот джемпер. Носим 2 сезон, качество хорошее 
Очень понравился свитер мягкий приятный 
Ребенок был очень рад 
Покупала племяннику,все подошло.
Очень мягкая и приятная к телу.

Все с ним хорошо. Только теплый для нашей зимы. 
Качество хорошее
","[""Приятный материал"", ""Качественный"", ""Просвечивает"", ""Скатывается ткань"", ""Удобный""]"
