text,tags
"Сын приносил всю зимы. Сапоги остались целыми, хотя обычно он уничтожает всю обувь за пару носок. Ногам тепло. Нареканий нет. 
Не самые удачные ботинки: если брюки не натягивать сверху, видно носок, в ботинок забивается грязь и все вода с улицы,по которой бегает ребенок, затягиваются резинки плохо. Края резинок спадают на землю, не удобно.Заправлять в ботинок помогает, но не долго. Возможно, не наша модель. Ребенку нравятся, хоть по началу говорил,что тяжеловаты. Претензии больше у меня, как у мамы,задолбалась вычищать их изнутри.
Очень удобные и практичные, не стираются носы 
Красивые и удобные, ребенку понравились 
Ботинки неплохие, на такую зиму как сейчас самый раз, но к категории зимних я бы их не отнесла,  -5❄️   это их предел, для длительных прогулок на морозе не подойдут.
Из плюсов могу отметить удобную систему шнурования и легкость в уходе
Все подошло,
По качеству вроде все соответствует. 

Удобные , теплые, ребенку нравится 
Отличные ботинки, любимые у сына. Относили с осени по весну и очень довольны

Сыну понравились. Особенно то, что шнурки не нужно завязывать.
Крутейшие ботинки! 
Понравились , но есть но, амортизации в них нет , краска с подошвы слезла …. Детям  с проблемными ногами , не рекомендую, так как дубовые  . И в них сильно потеют ноги . 
Ботинки носим второй сезон , как новые . 
Ботинки очень качественные, красивые но размер неподошел.
Ботинки очень качественные, хорошие и надежные
","[""Теплые"", ""Не натирают"", ""Удобные"", ""Не промокают"", ""Долго носятся"", ""Прочные"", ""Легко чистятся""]"
"Отличные кроссы, взяли ещё в двух цветах: белые и чёрные.
Стелька-кожа
Супер кроссовки идёт в размер
Качественные и красивые
Отличное качество, яркие, ребенок носит с удовольствием 
Плохой материал - синтетика, тяжелые
Сегодня пошли мерить ,достаём из коробки, а там один 34 размера ,а другой 35 размера а на коробке указан 35,как так ,уже второй раз заказываем...а так они красивые ребенку понравились,очень яркие
Кеды очень красивые и удобные, но совершенно не носибильные. Сын не самый активный ребёнок и не любит спорт) но убились в момент, кожа облезла и уже отклеиваюся.
Супер качество
Яркие, классные, размер в размер
","[""Приятная кожа"", ""Удобные"", ""Прочные"", ""Идут в размер""]"
"Нормальные
Хорошие, качественные ботинки 

не подошли, ребёнку не понравились. Обувь добротная. Носки после примерки всё в шерсти. 
качественные, непромокаемые
добротно сделанная обувь. 

подошва не скользит 
Хорошие ботинки, но пока морозов сильных не было
Второй раз подряд беру, лучше пока ничего не видела, они отличные!!! Них в и в снег и в слякоть не промокает, «антивандальные», ноги у ребенка всегда сухие и теплые. Рекомендую 
Отличные ботинки, удобные, не промокают.
Тяжеловаты
Оказались большиеи 24.5. Цвет га любителя
Ботинки понравились , сносу нет , легко мыть , ну и ребенку нравятся что можно лазить везде , не промокают
Качество супер, проверим в носке 
Отличные ботинки 
Пока не носили. Но сделаны хорошо. Ноге мягко и удобно. Не первый раз берем сыну этот бренд. Всегда все хорошо)
","[""Амортизируют"", ""Удобные"", ""Не промокают"", ""Прочные"", ""Легко чистятся""]"
"Легкие, мягкие, даже не натерли в первый день носки 
Для носки ребенку удобно. Но носы стерлись в первый же месяц (краска). Не рекомендую 

Нормально 
Красивые, но показались чуть грубоватыми выбрала другие.
Честно мне показалось что эти туфли уступают качеством туфлям этого же бренда и такой же цены. Жесткие и слишком гладкие для кожи. Но пришлось покупать, потому что, сыну понравились эти а не другие
Сидят на ноге хорошо.Удобные в носке.
Любимые туфли ребёнка, но кожа мягкая настолько, что стёрлась на носках в первый месяц носки и вывалился шнурок..  имеют место быть, но не на каждый день)
С виду неплохие. После 3х недель носки могу сказать следующее. Никогда еще я не сушила ребенку сменку. В пятницу после недели носки пришлось сушить, - стелька мокрая, у мыска начала отлипать и скукоживаться. В первую неделю ребенок решил пойти в белых носках - они стали беспроглядно черными. Стелька сама по себе черного цвета. Ноги в них потеют и пахнут несмотря на то, что кожаный материал…
отличные лоферы, однозначно рекомендую.
очень стильные 
Прекрасные. Качественный пошив и легкие. Кожа мягкая. Рекомендую 
Очень красивые 
Размер не подошел, а так туфли шикарные 
Самое то для школы! Стильные. 
В коем-то веке решила купить сыну туфли для школы. Эти даже мерить не стали. Купили кроссовки.
Очень понравились 
Хорошее качество, комфортные
Отличные лоферы 
Хорошее качество на первый взгляд, мягкие, в размер.
Ребенку понравились, в размер
На очень узкую ногу
Хорошие, не первая пара этой фирмы всегда довольны. 
","[""Не натирают"", ""Плохо держат ногу"", ""Маломерят"", ""Удобные"", ""Не промокают"", ""Лёгкие"", ""Приятная кожа""]"
"Очень удобнве туфли, ребёнок носит с удовольствием, кожа натуральная, рекомендую к покупке.
Отличные, лёгкие, очень стильные! Идут в размер! 
Качество,  подошва беспонтовое, цена не соответствует качеству, отказ.
Очень качественные,нарядные,стильные.Нам очень понравились.Мы очень довольные покупкой
Туфли хорошие,но правая все время слетает
Они бесподобны, но сыну не подошли, были узковаты
","[""На узкую стопу"", ""Приятная кожа"", ""Удобные"", ""Идут в размер"", ""Прочные"", ""Лёгкие""]"
"Бутсы подошли ребенку, доволен 
Через 2 месяца тренировок убились липучки. В остальном - обычные бутсы, цена= качеству
Непервая пара кросовок, покупаю на размер больше каждый раз. За эту сумму не видела качественней кроссовок, неубиваемые
Сын доволен
 Отличные бутсы для занятий в зале. Взяли ребенку на стопу 17,5 см. 
Ребенок доволен.
Занимаемся только в них, очень удобные и легко одеваются 
Хорошие бутсы
Отличные бутсы, удобно, что на липучке и не приходится шнурки постоянно завязывать
Берём не первый раз, за свою цену отличные
Просто нереально удобные 
Стандарт для юных футболистов)
","[""Удобные"", ""Прочные"", ""Идут в размер"", ""Долго носятся""]"
"Удобные, лёгкие, флисовый чулок. 
Отличные сапоги, идут в размер
Маломерки, на два размера. 
Стильные и практичные, мягкие
Ребенку осени понравились
","[""Удобные"", ""Идут в размер""]"
"Бутсы очень удобные, идут размер в размер. Качественно сделаны, прошиты. 
Неплохие, но очень холодные! Все ноги у ребенка мокрые в них
Удобные , хорошо держатся на искусственном газоне. Не уверена, что долговечны, но при контактном виде спорта это нормально 
Ребенку оч удобны 
Классные 
Ребенок носит с удовольствием!
Бегает ,играет !
Рекомендую!
","[""Удобные"", ""Не промокают"", ""Идут в размер"", ""Прочные"", ""Лёгкие""]"
"Стильные, ребенок говорит удобные
Цена радует 
Очень удобный и ка качественный 
Всё хорошо 
Ремонтировать могу 
Хорошая модель, но сын предпочёл другие.
Очень сильный запах 
Очень красивые кроссовки. Качество супер  
","[""Удобные"", ""Прочные""]"
"Утепленные удобные ботинки
Искусственная кожа.
На первый взгляд хорошие недорогие кожаные ботинки для ребенка
Нормальные ботинки
Берем вторую пару, не скользят, легкие, на ноге смотрятся красиво, легкие
","[""Удобные"", ""Теплые"", ""Прочные"", ""Лёгкие""]"
