product_sku,comment_id,comment_text,name,good_type,good_subtype,tags
MP002XU09745,"[409964934, 437565160, 424012062, 411818303, 397742231, 433554163, 416676566, 418733455, 421564017, 428047943]","[""Хорошее, милое полотенчико. \nДля пляжа, чтоб легко нести) \nСпасибо"", ""за такую стоимость хорошее"", ""Отличный вариант на пляж, сохнет быстро, место занимает мало, "", ""Ярко отличное и мощное полотенце"", ""В принципе,обычный полотенец."", ""Неплохое полотенце . Занимает очень мало места . "", ""Супер полотенце!!!"", ""Отличное вафельное полотенца "", ""Замечательное"", ""Тонкое вафельное полотенце.Брала на юг, тк оно лёгкое для багажа,и быстро сохнет во влажном климате.Ожидание оправдало""]",Полотенце,Home_Accs,BATH TOWELS,Вафельное; Тонкое; Легкое; Быстро сохнет
MP002XC01FNS,"[387880772, 380244594, 416433042, 418918058, 427119445, 432052456, 423277289, 378544065]","[""Приятная цена. Игрушка тоже хорошая"", ""Прикольная игрушка, сын очень хотел, но качество хот вилс круче гораздо, и цена в три раза дороже конечно! "", ""Покупала в качестве подарка для мальчика 2х лет. Малышу очень понравился, играет с удовольствием) Рекомендую"", ""Супер! Малыш счастлив и играет не отрываясь уже несколько месяцев "", ""отличная игрушка, часто играет, брали год назад "", ""Качество пластика супер, прочный.\nРебенок доволен"", ""Очень занимательная игрушка для мальчика !Яркая и музыкальная!"", ""Хорошая качественная ""]",Игрушка,Toys,PRETEND PLAY,Яркая; Музыкальная; Качественный пластик; Прочный; Для мальчиков; Занимательная
MP002XW0TITY,"[429537120, 429326163, 431280940, 397131465, 425469846, 427121778, 386145232]","[""Хороший крем"", ""Крем понравился, хорошо увлажняет и питает, впитывается быстро"", ""Запах приятный ,хорошо впитывается  "", ""Крем замечательный, впитывается быстро, не липкий, рекомендую"", ""Неплохой крем. Не жирный. Смягчает,  но не увлажняет. Для лета хорошо,  но для зимы нужно пожирнее."", "" Большой объем, хорошо увлажняет, приятный не навязчивый аромат."", ""Очень парфюмированный и  эффект не понравился""]",Крем для рук,Beauty_Accs,HANDS CARE,Хорошо увлажняет; Питает; Впитывается быстро; Не липкий; Приятный аромат; Не навязчивый аромат; Не жирный; Смягчает; Для лета; Большой объем; Парфюмированный
MP002XW1BPLB,"[429561748, 408694843, 415671837, 400689280]","[""Не понравилось, от слова совсем, ткань галимая синтетика, смотрится очень дешево, разочарована."", ""Хороший костюм красивого цвета, удобный и практичный "", ""Очень понравилась блуза \nВзяла комплект с шортами "", ""Качественная вещь. Цвет как на фото. В размер. Свободного кроя. Плотная фактурная ткань ""]",Блуза,Clothes,SHIRTS,Синтетика; Плотная ткань; Фактурная ткань; Свободного кроя; Цвет как на фото
MP002XU08COC,"[413837552, 423109042, 411190111, 388384481, 384452077, 430849562, 391146959, 419920566, 384799626, 386305049, 418933235, 384795408]","[""Отличные полотенца. Рекомендую."", ""Не первый раз покупаю эти полотенца. Для кухни отлично подходят, хорошо впитывают воду и быстро сохнут."", ""Хорошие, длинные, но узковатые"", ""Супер красиво"", ""Не пожалела,что взяла. Хорошо впитывает воду, удобно вешать,есть пришитые петельки. "", ""мягкие, приятные цвета, для кухни отличные полотенца\n"", ""Хорошо впитывают влагу"", ""Отличные кухонные полотенца"", ""Мягкие , хорошие "", ""Хорошие полотенца.Впитывают влагу отлично.Красивый цвет."", ""Хорошенькие,но я думала,чуть шире они.В целом я довольна покупкой,т.к.нравится этот цвет"", ""После первой стирки одна сторона одного из полотенец превратилась в лохмотья… Также после стирки полотенца уменьшились в размере: с одной стороны на 2 см точно""]",Полотенце,Home_Accs,HOME TOWELS,Хорошо впитывают воду; Мягкие; Быстро сохнут; Есть петельки; Узковатые; Уменьшаются после стирки
MP002XU05GOL,"[439547956, 415661979, 412879882, 377914599, 425651514, 417090211]","[""Ткань плотная.  Хорошие прихватки. "", ""Хорошие прихватки. Цвет подошёл к кухне."", ""Обычные неплохие "", ""Отличное качество "", ""Прихватим очень большие"", ""Вполне неплохой ""]",Комплект прихваток,Home_Accs,KITCHEN TEXTILE,Плотная ткань; Высокое качество; Большие прихватки
RTLACY043301,"[399095617, 404837381, 428429549, 426553101]","[""Хорошее качество. Ногам удобно. Легкие."", ""Отличное качество "", ""Одна из самых удобных моделей, из тех что сейчас есть в продаже."", ""Немного сужаются к носку, будьте аккуратнее с выбором размера. Рекомендую на пол размера побольше. ""]",Кроссовки,Shoes,SPORT SHOES,Удобные; Легкие; Хорошее качество; Сужаются к носку
MP002XU08NC2,"[439992996, 435373655, 435879856, 384116157, 389286819, 431708409, 436629597]","[""очень милая фигурка,жаль собачка пришла не приклеена,ну она и так сидит. Вот стул только грубоват."", ""товар пришёл целый, без сколов и царапин. прекрасный пёсик любимой породы."", ""Очень красивая игрушка. Качественный товар."", ""Классная фигурка, взяла в подарок… очень понравилось "", ""Милейшая статуэтка! Все сделано с большой точностью и очень реалистично, даже мелкие детали проработаны! Любовь с первого взгляда ♥️♥️♥️"", ""ЧУДО - РАСЧУДЕСНОЕ!!! "", ""Отказ, не портите себе %выкупа, очень низкое качество , ни 3,ни 2,ни одну тысячу это стоить не может , залипуха какая-то, а на картинке конечно дорого/богато""]",Фигурка декоративная,Home_Accs,DECOR,Высокая детализация; Реалистичный дизайн; Качественный материал; Надежность крепления; Спорное качество; Не соответствует цене
MP002XC01QOE,"[393850345, 408142670, 423658427, 438239420, 395749467]","[""Все отлично. Брудер как всегда качественный. \nНо машины очень большие "", ""Шикарные игрушки , очень прочные , всем советую "", ""классный набор! приобретался в подарок\nвсе супер "", ""Вроде топ, но пока рано. "", ""Качественные машины, большие, детям возраста 3 года и старше, очень реалистичные.""]",Игрушка,Toys,PRETEND PLAY,Качественный пластик; Прочные; Крупные; Реалистичные
MP002XU03422,"[387630840, 384617231, 396195544, 390988147, 393507281, 382549793, 400853594, 389278192, 381835974, 398598071, 407477794, 401797754, 399652453, 407162953, 380583746, 387641677, 379345982, 407975475, 393856595, 379014283, 379184117, 386953663, 391132893]","[""Нормальные такие плечики"", ""Очень хрубрие, подойдут только для футболок и рубашек) \nПовесила брюки и сразу сломалась вешалка"", ""Все отлично "", "" Еру уже третью упаковку- для гардеробной незаменимы"", ""Плечики хрупкие, ломаются. Не очень удобные"", ""Хочу добавить отзыв \nПользуюсь уже некоторое время \nСломалось несколько штук \nОчень хрупкие ,вешала на них легкую одежду и то не выдержали …\n"", ""Удобные. Белые вещи не рискнула вешать, т.к. ворсинки  остаются черные"", ""Здравствуйте! Хорошие вешалки."", ""Быстро ломаются , маленький вес выдерживают "", ""Отличные вешалки, беру не в первый раз. Футболки, рубашки, платья легкие. Места в шкафу занимают не много."", ""Соответствуют описанию. Синтетический бархат.  Тонкие, не на тяжёлые вещи. На гардероб отлично."", ""Очень классные. Рекомендую!"", ""За свою цену отличные"", ""Крепкие, хороший материал "", ""Нормальные вешалки. Цена приятная, в магазинах дороже."", ""Хорошие вешалки"", ""Отличные вешалки. Довольно крепкие. "", ""Легкие удобные"", ""Отличные вешалки. Очень удобные. Для тяжелой зимней одежды не подойдут. Всю остальную одежду выдерживают. За счет бархатного нанесения, одежда не сползает."", ""Классные вешалки"", ""Тонкие, но прочные. Бархатные, поэтому одежда хорошо держится"", ""Отличные плечики!"", ""Хорошие вешалки!""]",Комплект плечиков,Home_Accs,STORAGE,Хрупкие; Бархатные; Для лёгкой одежды; Не выдерживают вес; Одежда не сползает; Тонкие; Удобные
MP002XW0781N,"[380250362, 426575229, 420811206, 416882804, 415450438]","[""Сам лиф отличный, плотный и приятный, но размер не мой, передавил грудь сверху :( хотя ношу 70С/75В"", ""Не понравился по комфорту "", ""Топ мне понравился , удобный , особенно летом , стирали уже несколько раз , все отлично , размер соответствует "", ""Подошел на 75D.  Держится хорошо"", ""Всё понравилось ""]",Бюстгальтер,Clothes,UNDERWEAR,Плотный материал; Приятный материал; Удобный; Хорошо держится; Не теряет форму
MP002XU0CW29,"[414493499, 433562691, 405169938, 413216810, 413823927, 419740681]","[""Качественный товар. Тяжёленькая фарфоровая подставка. Смотрится отлично"", ""Понравился.  А потом буду покупать к нему  ершики"", ""Отличный товар. Густой ёршик и красивая ,тяжелая подставка из керамики."", ""Отличное качество "", ""Симпатичный такой ершик. В деле еще не пробовала. А так в целом понравился."", ""Товар пришёл хорошо упакован.Покупкой доволен.\n""]",Ершик для унитаза,Home_Accs,BATHROOM ACCESSORIES,Фарфоровая подставка; Тяжёлая конструкция; Густой ёршик; Керамическая подставка; Качественный товар
MP002XC01Q9W,"[410229892, 378152764, 395310527, 391002079, 401616139, 431294189, 428220725, 434550601, 385139529, 394823875, 410214293, 400846289, 380057807, 428410907, 409251620, 404668720, 424748919, 394657887, 383561560, 414064905, 412895303, 419540381, 428795829, 405504892, 389288028, 409267330, 432862402, 390454440, 414489921, 394486708, 426031443, 434939735, 399642085, 408153896, 425086763, 406434127, 410684490, 435362746, 433059481, 399105827, 411513278, 408522789, 438001003, 426267510]","[""Ребенку понравилась каталка. Качественно сделано."", ""Ребенку понравилась. Качество хорошее"", ""Ребенок просто в восторге "", ""Классная игрушка "", ""Палка отвалилась в первый день."", ""Ребенку очень нравится. Модно укоротить ручку для самых маленьких. "", ""Ребенок в восторге"", ""Всё нравится!"", ""Классная игрушка, малой в восторге и играется часто "", ""Отличная,деревянная игрушка,для годовалого ребёнка покупала,по его росту отлично держать. "", ""Классная качественная игрушка, ребёнок играет с удовольствием."", ""Хорошая каталка"", ""Мне очень нравится. Ребенок (ровно годик) пока не понял, кажется, всей прелести))"", ""игрушка хорошенькая, яркая прикольная, без неприятного запаха.Моему внуку понравилась,играет  увлечённо."", ""Дочке годик, очень нравится катать эту игрушку. Сделана качественно"", ""Глаза у мышки отвалились практически сразу . В  целом отличный подарок для ребенка "", ""Почти сразу в в развалилось, клей не помог. "", ""Ребенок в восторге "", ""Качественная "", ""Главное натуральное дерево!"", ""Малышу понравилась, играл с удовольствием."", ""Любимая игрушка "", ""Ребенку нравится"", ""Хорошая , качественная деревянная игрушка "", ""Очень прочная и качественная игрушка. И катаем, и стучим, и машем"", ""внучке понравилась"", ""Интересная  игрушка. Дочка  туда- сюда с ней, забавно."", ""Колесики отклеились прямо сразу .\nНе успели подарить"", ""Качественно и красиво "", ""Игрушка малейшая! Сняла звезду за упаковку, вернее за ее отсутствие. Была упакована в пупырку.. Брала на подарок, неприятно так дарить"", "" отличная игрушка "", ""Отличная игрушка, хорошего качества "", ""Купила в подарок. Игрушка классная!"", ""Качественная деревянная игрушка\nЯркие краски\nМилый мышонок "", ""Очень качественное изделие "", ""Ребенка заинтересовала, самое главное\nКачество хорошее, дерево обработано хорошо, при игре звенит бубенчик у мышки"", ""Прикольная игрушка, ребенку нравится! Жаль, что мышка не вращается, только колокольчик звенит"", ""Хорошая игрушка. \nМалышу очень понравилась , Катает с удовольствием "", ""Странная игрушка за странные деньги- деревянная и неказистая, внимание ребенка не привлекает, да еще и ребенок может размахнуться и разбить стекло/зеркало или травмировать других детей.. Свои денег точно не стоит. Есть дешевые альтернативы"", ""Классная мышь, дочка ее любит. Шлифовка не идеальная, чуть шероховатая, но занозу не поставите. Зато тактильные ощущения интересные (кажется, в этом и суть). Крутятся ушки, колечки вдоль тела, бубенчик звенит приятно."", ""Ребенок рад!"", ""Отличная игрушка"", ""Качественная катлалка)"", ""приятная на ощупь. яркая""]",Игрушка-каталка,Toys,BABY TOYS,Деревянная; Качественная; Яркие краски; Милый дизайн; Бубенчик звенит; Вращаются ушки; Тактильная; Шероховатая поверхность; Отваливаются детали; Проблемы с упаковкой
RTLABC980601,"[383763719, 379895635, 378283967, 382568580, 436643501, 384443545, 388382121, 380055693, 382873025]","[""Приятный запах, не липкое"", ""Губы увлажненные. Цвет ."", ""Цвет потрясающий, только губы подсушивает"", ""Приятный в нанесение, не липкий "", ""Понравился "", ""Лично для меня не питает , цвет на губах ближе к оранжевому оттенку "", ""Сам блеск классный, но он весь вытекает.\nИспачкал просто все, всю сумку "", ""Не плохой бальзам. Придает насыщенный цвет губам, вкусно пахнет. Минус за то что протекает "", ""Хорошо ложиться ""]",Масло для губ,Beauty_Accs,LIPS CARE,Не липкое; Увлажняет; Насыщенный цвет; Приятный аромат; Протекает; Хорошо ложится; Подсушивает; Оранжевый оттенок
MP002XB02F60,"[397446042, 418550123, 393526240, 399094636, 415666160, 413191111, 414281454, 401953504, 406442736]","[""Сыну 8 лет и он доволен"", ""Очень классные и стильные! Для активного отдыха подошли идеально, по качеству -тоже остались довольны"", ""Хорошие очки. На 9 лет не крупный мальчик , сели хорошо."", ""Модные. Сын 7 лет доволен. Цена вообще сказка"", ""Идеально для мальчика "", ""Очень классные очки, сын доволен, не снимает."", ""Очки крутые!!!"", ""Отлично защищают от солнца. Лёгкие. Дужки регулируемые. Смотрятся - \""Вау!\"""", ""Интересные ""]",Очки солнцезащитные,Accs,EYEWEAR,Лёгкие; Защита от солнца; Регулируемые дужки; Стильные; Удобная посадка
MP002XM0BFPZ,"[427826371, 392573963, 388364612, 389273768, 415675136, 422551856, 397455661, 418937298, 428218740, 391150386, 423654958, 386956319, 390707089, 396177570, 435621355, 426735453]","[""Хороший размер.  "", ""Хорошая, теплая шапка."", ""Хорошая шапка"", ""Хорошое качество, подошла по размеру и фаносону"", ""Отличная цена, легкая "", ""Качество хорошее\nНо маломерит "", ""Хороший шапка рекомендую всем "", ""Отличная тёплая шапка"", ""Плохое качество "", ""Что-то неудобного шапка"", ""Понравилась "", ""Отличная шапка "", ""Не тот фасон, что ожидали, слишком глубокая."", ""Отличная шапка на осень/весну"", ""Цена-качеству соответсвует"", ""В размер, отлично  ""]",Шапка,Accs,HEADWEAR,Теплая; Легкая; Хорошее качество; Маломерит; Глубокая; На осень/весну
MP002XB06ZY2,"[392722417, 433554437, 425093928, 423991644, 433380091, 385640824, 402832122, 429152172, 424008648]","[""Удобные на узкую ногу и низкий подъем. Не громоздкие, не тяжелые, не скользкие, износостойкие. Ногам тепло до нуля градусов.  Получается, идеальные!"", ""Подошва дубовата , а так норм "", ""Взяла на зиму "", ""Хорошие.Подошва не скользит "", ""Отличные ботинки! Ребенок выбрал сам. "", ""Отличные, удобные, стильные"", ""Всё хорошо."", ""хорошое качества ,но маломерят пришлось обменять на размер больше ..."", ""Классные ботинки, ребенок проходил всю зиму, прочные""]",Ботинки,Shoes,BOOTS,Удобные на узкую ногу; Низкий подъем; Не громоздкие; Не тяжелые; Не скользкие; Износостойкие; Теплые до нуля; Дубовая подошва; Высокое качество; Маломерят; Прочные
RTLAEQ828401,"[433401442, 438477839, 434925318, 434553477, 434364540, 439171798, 435605682, 439769781, 432864994, 429557910, 431271164, 433771786, 430860068, 434923218, 435621825, 438959341, 438741360, 433226349, 437566162, 435627644, 439755852, 430859715, 439538838, 439549703, 435869950, 437783303, 435363536, 434531592, 438220740, 431060934]","[""Очень красивые, самое то для праздника"", ""Очень крутой набор!!!"", ""Прикольный принт, немного жестковаты "", ""Качественные и стильные полотенца"", ""Впитывают хорошо "", ""Прекрасный материал, расцветка. Купила 3 комплекта на подарки. "", ""Купила в подарок "", ""Чудесные. Для кухонных полотенец очень аккуратно сшиты, рисунок центрирован. Рогожка приятная наощупь, с обратной стороны просто светленькие, но это смотрится уместно."", ""Симпатичные новогодние полотенца:)мне понравились!"", ""Качественные и очень милые полотенца "", ""Качество хорошее"", ""Брала в подарок, мои ожидания подтвердились, хлопок, очень приятный на ощупь, Рада, что полотенца супер!"", ""Красивые, взяла на подарки на нг  "", ""Хотелось бы поплотнее ткань, дизайн хороший"", ""Неплохие полотенца, взяла бы за рублей 500-700. В жизни не такие яркие "", ""Качество и цена на 4. Как подарок на 5. Новогоднее настроение на +5. Супруга довольна."", ""Качество на высоте "", ""яркие, плотные, очень понравились"", ""Хороший комплект"", ""Плотные полотенца, красивые цвета, края местами не идеальны, но полосатое всё равно любовь ❤️"", ""Оч красивые новогодние полотенца. Качество отличное. Плотные. Рисунок яркий. Люблю такое. "", ""Очень понравился принт! Наконец-то на русском языке про Новый год)"", ""классные, но ткань грубая, как и печать. немного кривые "", ""Очень красивые, плотные полотенца "", ""Полотенца хорошего качества,с лаконичным орнаментом,стильные."", ""Качество на высоте. "", ""Полотенца отличные, качественные и красивые"", ""Красивые и стильные "", ""Отличные, взяла на подарок, но думаю оставить себе)) яркие, но как вытирают и впитывают - не знаю "", ""Приятное на ощупь. Для подарка на нг, мне кажется, идеально ""]",Комплект кухонных полотенец,Home_Accs,KITCHEN TEXTILE,
MP002XW1C416,"[400201013, 417074349, 384972549, 429347734, 379354499, 415430309, 399270104, 385820638, 404516902, 408334953, 392723840, 391130251, 388826845]","[""Отличный скраб, запах очень приятный, спасибо La!"", ""Супер. Отличный аромат и текстура. Кожа после него приятно-увлажненная"", ""Не плох, но другие скрабы этого бренда понравились больше."", ""Хорошо увлажняет."", ""Хороший скраб для тела "", ""Отличный скраб"", ""Приятный аромат"", ""Отличный результат, приятный запах."", ""Отличный скраб,  приятно пахнет,кожа мягкая .  Погнута крышка, досадно, но ладно."", ""Мне не зашел. Лучше буду брать гомаж для тела. Запах очень приторный, насколько я люблю сладость, тут просто задушил. Много масла, Сахар растворяется очень быстро-не успев что то отскрабировать. Никаких доп. частичек нет. Второй раз не возьму. А вот крем этого бренда xx мне очень понравился"", ""Очень хороший скраб. Приятная текстура и запах. Кожа после него наимегчайшая "", ""Приятный скраб! Советую"", ""Отличный скраб, приятный аромат ( ненавязчивый), увлажняет кожу, подходит для ежедневного применения. Рекомендую.\n""]",Скраб для тела,Beauty_Accs,BATH & SHOWER,Приятный аромат; Увлажняет кожу; Ненавязчивый запах; Много масла; Быстро растворяется; Нет абразивных частичек; Мягкая текстура
RTLACB593301,"[430416845, 422198645, 424541459, 392123166, 392736226, 424162219, 393840794, 389289143]","[""Оригинал! Цвет огонь!"", ""Классный блеск, прям хорошо смотрится на губах "", ""Полупрозрачная"", ""Первый раз взяла помаду этой фирмы и приятно удивлена! Нейтральный оттенок, отличное увлажнение, на губах комфортно и не липко. Буду брать еще )) \nСо скидкой отхватила за 720 руб)"", ""Легкий перламутровый оттенок, не навязчивый аромат, но ощутимый, что касаемо увлажнения - эффекта 0…."", ""для лета, выбеливант губы, запах ириски молочной "", ""Неприятно тянется по губам, ложится жирным липким слоем, сразу хочется его смыть"", ""Отличный, впрочем как и всё этой фирмы... ""]",Бальзам оттеночный для губ,Beauty_Accs,MAKE-UP LIPS,Нейтральный оттенок; Перламутровый оттенок; Полупрозрачная; Отличное увлажнение; Не липкий; Жирный слой; Липкий слой; Неприятно тянется; Ненавязчивый аромат; Запах ириски молочной
MP002XU08YB1,"[399638827, 418034921, 407815160, 415015237, 415883397]","[""Суперское!) Впитывает. Легкое."", ""Брала в подарок, замечательное полотенце хорошего качества, цвет как на фото! "", ""Хорошо впитывает влагу, быстро сохнет, взяла ребенку в бассейн "", ""Очень мягкое, хорошо впитывает влагу! Очень рекомендую!! "", ""Хорршеп мягкое и легкое полотенце. Брада для бассейна. Красивое. Цвет очень приятный.""]",Полотенце,Accs,TOWELS,Мягкое; Хорошо впитывает; Быстро сохнет; Легкое
RTLADR066201,"[424167823, 387890575, 410931640, 426553849, 392436847]","[""Замечательная базовая сумка, можно носить и с логотипом, и развернуть без него. Цвет ярче чем на фото. "", ""Сумка-зефирка. Длинный ремешок можно снять. Одно отделение без карманов, закрывается на магнитную кнопку (сумка по факту остаётся открытой, не для прогулок под дождём). По размеру отлично, чтобы взять только необходимое: паспорт, телефон, ключи."", ""Красивая сумочка."", ""Отличная малышка. Вместительная "", ""Сумка лично для меня ни о чем. Маленькая, как игрушечная. Не знаю что там поместиться должно. Единственное что понравилось, так это цвет""]",Сумка,Bags,BAGS,Компактная; С магнитной кнопкой; Съёмный ремешок; Без внутренних карманов; Не водонепроницаемая; Яркий цвет; Вместительная
MP002XU0D7UV,"[413634621, 389281977, 379533936, 429321862, 386794349, 403394491, 426414076, 415679609]","[""Запах восхитительный. Средства свои функции выполняют."", ""Как небольшой презент, очень даже не плохо))) запах супер  увлажняет здорово  "", ""Аромат просто шикарный! Текстуры тоже"", ""Отличный крем."", ""Люблю все этой марки"", ""Безумно нравится. Текстура у крема приятная, быстро впитывается, хорошо увлажняет. Приятный запах\nБальзам мое спасение, а то губы постоянно сохнут"", ""ПрИтный набор"", ""Беру из-за бальзама для губ несколько лет, крем не очень подходит, слишком легкий\nАромат приятный ""]",Набор для ухода за руками,Beauty_Accs,HANDS CARE,Увлажняет хорошо; Быстро впитывается; Приятная текстура; Восхитительный аромат; Шикарный аромат; Легкий крем; Бальзам для губ эффективный
RTLADP754501,"[422547335, 412626709, 411803326, 405835609, 431266137, 415008672, 431896054, 383381859, 418705371, 410479280, 410937216, 402630906, 414268446, 410473895, 414048405, 403397378, 403385293, 415427937]","[""Выбирала из двух цветов, предпочтение в сторону светлой такой же модели. Разочарована, что спустя две недели использования, цвет фурнитуры и молний совершенно поблек((( Из-за этого смотрится дёшево. "", ""очень понравилась, удобная"", ""Очень удобная и красивая"", ""Классная сумка-трансформер, фактически 2 сумки.  Носится как вместе, так и по отдельности. Ручка отстёгивается и меняется, можно носить в руках и через плечо. Качество хорошее. "", ""Очень понравилась "", ""Качественный товар, рекомендую"", ""Отличная сумка, достаточно маленькая, но все самое необходимое помещается! У меня пол гардероба в коричневых тонах, поэтому мне эта сумка подходит под любые образы"", ""Классная сумка на повседневку"", ""Сумочка красивая и качественная. Очень понравилось, что она превращается в несколько разных сумочек: хочешь- только для телефона на цепочке, хочешь-клатч, хочешь- кроссбоди. Еще бОльшее удовольствие получила бы, если бы упаковка была «повкуснее»: товар хороший , а упаковка у бренда обычная. Всё-таки приятнее получатьтакую  вещь в фирменной коробочке/пакете/пыльнике ( ну хоть что -то). "", ""Очень классная "", ""Как-то неприятно было получить сумку за 10тыс в такой рваной упаковке. "", ""Сумочка крутая "", ""Хорошая сумочка, качество тоже. "", ""Хорошее качество "", ""Сумка просто суперкачество "", ""Красивая, качественная. Оригинал "", ""Качество хорошее,нитки нигде не торчат.Подходит под все"", ""Сумочки мечты качественная фурнитура, вместительная, очень оригинальная, две разные сумочки в одной с разными комбинациями - просто сказка""]",Сумки 2 шт.,Bags,BAGS,Качественная фурнитура; Трансформер; Удобная; Вместительная; Оригинальная; Универсальная; Фактически 2 сумки; Цвет фурнитуры блекнет
